model,proj_size,dataset,pooler_epochs,encoder_epochs,sts_cos,align_loss_papers_test,uniform_loss_papers_test,align_loss_songs_test,uniform_loss_songs_test,samedoc_papers_test_meancos,samedoc_papers_test_median,samedoc_papers_test_std,samedoc_papers_test_min,samedoc_papers_test_max,samedoc_songs_test_meancos,samedoc_songs_test_median,samedoc_songs_test_std,samedoc_songs_test_min,samedoc_songs_test_max
baseline,4,papers,3,3,0.2011,1.308212638,-2.405,0.219642416,-0.4638,0.3453,0.4337,0.4593,-0.9927,1,0.8978,0.9318,0.1118,-0.5561,1
baseline,16,papers,3,3,0.4599,1.682311177,-3.4207,1.134254575,-2.246,0.1491,0.1511,0.2911,-0.7505,1,0.4431,0.4513,0.2414,-0.5277,1
baseline,64,papers,3,3,0.6202,1.572154999,-3.3691,1.286012053,-2.6986,0.1941,0.1901,0.2029,-0.4153,1,0.3612,0.346,0.1978,-0.2556,1
baseline,256,papers,3,3,0.6668,1.697695971,-3.6915,1.322055101,-2.7982,0.1516,0.1438,0.1831,-0.4162,1,0.3504,0.3264,0.1837,-0.1893,1
baseline,767,papers,3,3,0.6684,1.699127197,-3.7237,1.377028584,-2.9769,0.1412,0.1266,0.1719,-0.2965,1,0.3168,0.2887,0.1822,-0.1568,1
baseline,4,songs,3,3,0.2194,0.486082256,-0.8879,1.680780053,-2.407,0.7662,0.8538,0.2531,-0.7566,1,0.1453,0.1621,0.5399,-0.9958,1
baseline,16,songs,3,3,0.6035,0.847980022,-1.745,1.720214963,-3.4234,0.5818,0.629,0.2321,-0.4835,1,0.1352,0.1142,0.3147,-0.8071,1
baseline,64,songs,3,3,0.6608,0.942677379,-2.0857,1.709010243,-3.556,0.5421,0.5701,0.1994,-0.3133,1,0.1383,0.1058,0.2478,-0.5107,1
baseline,256,songs,3,3,0.7025,1.196730137,-2.6642,1.757093191,-3.698,0.4088,0.4215,0.19,-0.2272,1,0.1208,0.0827,0.2326,-0.4379,1
baseline,767,songs,3,3,0.6376,1.093517303,-2.4515,1.761520386,-3.7343,0.4506,0.4692,0.1926,-0.1965,1,0.1167,0.0755,0.2272,-0.4391,1
